,text,class,summary,cleaned
235551,everyday I wake up thinking i’m a burden to my fucking family and wish I wasn’t born hahahaha 😭😭😭.,1,everyday I wake up thinking i’m a burden to my fucking family and wish I wasn’t born hahahaha 😭😭😭.,everyday wake think burden fucking family wish not bear yamaha
235552,"Good morning, guys! Not accepting bookings until tomorrow since magiging busy with family. January na po ulit ako tatanggap, hope y’all understand 😚 

Happy New Year to all! Ingat po tayo pati pets natin sa fire crackers, magtorotot na lang tayo! 🥳",0,"Good morning, guys! Not accepting bookings until tomorrow since magiging busy with family. January na po ulit ako tatanggap, hope y’all understand 😚 

Happy New Year to all! Ingat po tayo pati pets natin sa fire crackers, magtorotot na lang tayo! 🥳",good morning guy not accept booking tomorrow mail busy family january unit ago titan gap hope understand happy new year potato path pet nation fire cracker matt root lang mayo
235553,revenge of others is brilliant omg,0,revenge of others is brilliant omg,revenge brilliant org
235554,guys the sec trafficker sent me nudes i genuinely need to like hang myself,0,guys the sec trafficker sent me nudes i genuinely need to like hang myself,guy sec trafficker send nude genuinely need like hang
235555,My favorite gig of 2022 and top 5 of ever: @The_Perturbator with Health https://t.co/ifv7nnk5RU,0,My favorite gig of 2022 and top 5 of ever: @The_Perturbator with Health https://t.co/ifv7nnk5RU,favourite gig perturb tor health
235556,I never knew furniture stores sold pet beds until today.  I may get one for my bad and boujee pups some day 😬 https://t.co/YmrMdPaqJV,0,I never knew furniture stores sold pet beds until today.  I may get one for my bad and boujee pups some day 😬 https://t.co/YmrMdPaqJV,know furniture store sell pet bed today bad bounce pup day
235557,Check out Raees_🇱🇾🔱's video! #TikTok https://t.co/IYPNXhxNfq,0,Check out Raees_🇱🇾🔱's video! #TikTok https://t.co/IYPNXhxNfq,check rate video tito
235558,3 people followed me // automatically checked by https://t.co/ikphMf7588,0,3 people followed me // automatically checked by https://t.co/ikphMf7588,people follow automatically check
235559,"I am so over this world

the new variant is here I guess, and man I’m just so tired of existing at this point lmao. wonder if another lockdown is gonna happen soon or if America will just pretend it’s nothing to worry about now 🤪🤪🤪",1,"I am so over this world

the new variant is here I guess, and man I’m just so tired of existing at this point lmao. wonder if another lockdown is gonna happen soon or if America will just pretend it’s nothing to worry about now 🤪🤪🤪",world new variant guess man tired exist point lao wonder lock go happen soon america pretend worry
235560,"https://t.co/v7gphNY5t0
Breaking news (good news)
..",0,"https://t.co/v7gphNY5t0
Breaking news (good news)
..",break news good news
235561,And now it’s time…… 🍺,0,And now it’s time…… 🍺,time
235562,Learning ALOT today and still have 2 more hours to get in 🙇,0,Learning ALOT today and still have 2 more hours to get in 🙇,learn lot today hour
